Average Time;Global Size;LocalSize
1.49608e-05;35;13
1.50466e-05;36;13
1.55783e-05;37;13
1.49488e-05;38;13
1.52588e-05;39;13
1.49918e-05;40;13
1.51086e-05;41;13
1.43099e-05;42;13
1.53136e-05;43;13
1.56689e-05;44;13
1.53279e-05;45;13
1.3442e-05;46;13
1.52516e-05;47;13
1.66106e-05;48;13
1.69587e-05;49;13
1.73545e-05;50;13
1.76835e-05;51;13
1.7705e-05;52;13
1.70827e-05;53;13
1.74332e-05;54;13
1.76811e-05;55;13
1.73593e-05;56;13
1.75929e-05;57;13
1.68037e-05;58;13
1.71566e-05;59;13
1.75261e-05;60;13
1.80912e-05;61;13
1.68514e-05;62;13
1.73426e-05;63;13
1.77979e-05;64;13
1.75786e-05;1;14
1.81699e-05;2;14
1.67799e-05;3;14
1.75524e-05;4;14
1.69349e-05;5;14
1.79839e-05;6;14
1.92595e-05;7;14
1.54757e-05;8;14
1.47438e-05;9;14
1.06001e-05;10;14
1.3659e-05;11;14
1.49775e-05;12;14
1.50323e-05;13;14
1.40285e-05;14;14
1.5173e-05;15;14
1.62029e-05;16;14
1.45769e-05;17;14
1.73616e-05;18;14
1.71113e-05;19;14
1.70946e-05;20;14
1.76787e-05;21;14
1.75762e-05;22;14
1.7879e-05;23;14
1.67513e-05;24;14
1.82557e-05;25;14
1.90091e-05;26;14
1.89066e-05;27;14
1.88732e-05;28;14
1.95408e-05;29;14
1.95599e-05;30;14
1.86706e-05;31;14
1.95241e-05;32;14
1.8754e-05;33;14
1.78623e-05;34;14
1.75714e-05;35;14
1.72663e-05;36;14
1.71876e-05;37;14
1.85084e-05;38;14
1.9238e-05;39;14
1.78981e-05;40;14
1.78051e-05;41;14
1.78504e-05;42;14
1.87469e-05;43;14
1.77169e-05;44;14
1.7519e-05;45;14
1.70326e-05;46;14
1.75261e-05;47;14
1.97935e-05;48;14
1.82319e-05;49;14
1.84536e-05;50;14
1.79958e-05;51;14
1.7941e-05;52;14
